month,seafood_catch,imports_of_seafood,exports_of_seafood,total_rainfall,month_mean_temp
2008-01-01,163.0,13066.0,3334.0,262.6,24.3
2007-12-01,225.0,10546.0,2889.0,468.6,24.1
2007-11-01,179.0,11223.0,2691.0,367.9,24.0
2007-10-01,387.0,12102.0,3889.0,237.2,24.9
2007-09-01,325.0,10127.0,2785.0,149.0,25.0
2007-08-01,385.0,11676.0,4201.0,190.7,25.0
2007-07-01,396.0,13084.0,6343.0,141.7,25.1
2007-06-01,298.0,13125.0,4574.0,139.0,25.4
2007-05-01,277.0,13463.0,6479.0,127.2,25.3
2007-04-01,367.0,12190.0,2886.0,240.2,25.2
2007-03-01,212.0,10820.0,2977.0,269.1,24.6
2007-02-01,223.0,9637.0,4307.0,105.5,24.5
2007-01-01,208.0,12982.0,4204.0,450.1,24.2
2006-12-01,219.0,10860.0,3706.0,765.9,24.3
2006-11-01,287.0,11973.0,3548.0,185.6,24.5
2006-10-01,281.0,10112.0,3869.0,102.0,25.4
2006-09-01,276.0,14350.0,5736.0,83.3,25.4
2006-08-01,280.0,12960.0,4072.0,127.3,25.5
2006-07-01,265.0,11813.0,5463.0,153.8,25.7
2006-06-01,272.0,12644.0,5663.0,236.8,25.1
2006-05-01,357.0,14436.0,6247.0,205.7,25.4
2006-04-01,243.0,14284.0,6007.0,239.8,24.8
2006-03-01,297.0,13697.0,5870.0,83.1,25.2
2006-02-01,234.0,10762.0,4827.0,115.5,24.8
2006-01-01,92.0,11234.0,4017.0,454.4,24.1
2005-12-01,122.0,13271.0,4722.0,166.0,24.6
2005-11-01,195.0,10707.0,3513.0,362.9,24.4
2005-10-01,151.0,12339.0,3982.0,314.5,24.7
2005-09-01,159.0,12363.0,4317.0,175.7,25.2
2005-08-01,144.0,11880.0,5358.0,58.5,25.5
2005-07-01,183.0,13539.0,6278.0,104.0,25.2
2005-06-01,169.0,14112.0,7228.0,82.3,26.1
2005-05-01,146.0,11088.0,4199.0,331.1,25.2
2005-04-01,151.0,10967.0,4271.0,81.7,25.7
2005-03-01,168.0,14417.0,6896.0,82.4,25.4
2005-02-01,218.0,11128.0,4417.0,8.4,25.3
2005-01-01,114.0,13302.0,5513.0,163.2,23.9
2004-12-01,143.0,12350.0,5348.0,139.8,24.5
2004-11-01,166.0,12419.0,5505.0,166.2,24.6
2004-10-01,223.0,13205.0,5810.0,125.6,25.0
2004-09-01,224.0,14109.0,6792.0,128.9,25.0
2004-08-01,234.0,13074.0,6822.0,185.2,25.4
2004-07-01,211.0,14200.0,7442.0,166.6,24.5
2004-06-01,170.0,13156.0,6122.0,127.2,26.1
2004-05-01,164.0,12172.0,4879.0,137.6,26.4
2004-04-01,142.0,12275.0,4923.0,57.1,26.1
2004-03-01,183.0,12505.0,4946.0,269.4,24.7
2004-02-01,143.0,11948.0,5820.0,31.9,24.7
2004-01-01,170.0,10857.0,3430.0,600.9,24.2
2003-12-01,194.0,11686.0,4291.0,273.0,24.3
2003-11-01,216.0,11116.0,4615.0,133.8,24.7
2003-10-01,233.0,12435.0,4754.0,351.4,24.5
2003-09-01,201.0,12188.0,6444.0,205.3,24.8
2003-08-01,234.0,12846.0,5584.0,193.6,25.5
2003-07-01,141.0,14756.0,6574.0,170.4,25.1
2003-06-01,162.0,10860.0,5666.0,50.3,26.0
2003-05-01,139.0,11899.0,5150.0,81.8,26.5
2003-04-01,115.0,11707.0,4091.0,159.9,25.3
2003-03-01,198.0,13074.0,5375.0,154.6,25.2
2003-02-01,111.0,10380.0,3785.0,172.9,24.4
2003-01-01,141.0,11654.0,4247.0,444.2,24.4
2002-12-01,211.0,8487.0,3185.0,255.0,24.7
2002-11-01,218.0,7719.0,4450.0,307.2,24.5
2002-10-01,255.0,9794.0,3838.0,10.8,25.7
2002-09-01,270.0,8019.0,3869.0,124.2,25.1
2002-08-01,235.0,8202.0,4238.0,54.2,25.6
2002-07-01,215.0,9177.0,4652.0,233.7,25.5
2002-06-01,269.0,8835.0,6945.0,83.1,26.0
2002-05-01,218.0,8670.0,5610.0,236.6,26.1
2002-04-01,198.0,8414.0,4986.0,116.5,25.6
2002-03-01,243.0,8351.0,4708.0,55.6,25.1
2002-02-01,183.0,6941.0,6290.0,50.8,24.5
2002-01-01,254.0,9405.0,5152.0,221.2,24.5
